map,result,team1_world_rank,team2_world_rank,1_top_Times played,1_top_wins,1_top_draws,1_top_losses,1_top_Total rounds played,1_top_Rounds won,1_top_Win percent,1_top_Pistol rounds,1_top_Pistol rounds won,1_top_Pistol round win percent,1_top_CT round win percent,1_top_T round win percent,1_All_Times played,1_All_wins,1_All_draws,1_All_losses,1_All_Total rounds played,1_All_Rounds won,1_All_Win percent,1_All_Pistol rounds,1_All_Pistol rounds won,1_All_Pistol round win percent,1_All_CT round win percent,1_All_T round win percent,2_top_Times played,2_top_wins,2_top_draws,2_top_losses,2_top_Total rounds played,2_top_Rounds won,2_top_Win percent,2_top_Pistol rounds,2_top_Pistol rounds won,2_top_Pistol round win percent,2_top_CT round win percent,2_top_T round win percent,2_All_Times played,2_All_wins,2_All_draws,2_All_losses,2_All_Total rounds played,2_All_Rounds won,2_All_Win percent,2_All_Pistol rounds,2_All_Pistol rounds won,2_All_Pistol round win percent,2_All_CT round win percent,2_All_T round win percent
Nuke,1,74,68,2,0,0,2,62,27,0.0,4,1,0.25,0.517,0.364,2,0,0,2,62,27,0.0,4,1,0.25,0.517,0.364,3,2,0,1,79,43,0.667,6,4,0.667,0.706,0.422,3,2,0,1,79,43,0.667,6,4,0.667,0.706,0.422
Inferno,1,74,68,3,2,0,1,97,52,0.667,6,3,0.5,0.49,0.587,3,2,0,1,97,52,0.667,6,3,0.5,0.49,0.587,1,1,0,0,35,19,1.0,2,2,1.0,0.529,0.556,1,1,0,0,35,19,1.0,2,2,1.0,0.529,0.556
Mirage,1,24,88,17,9,0,8,502,258,0.529,34,19,0.559,0.573,0.46,17,9,0,8,502,258,0.529,34,19,0.559,0.573,0.46,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,8,0,0,8,236,99,0.0,16,10,0.625,0.426,0.411
Nuke,1,24,88,5,3,0,2,123,60,0.6,10,4,0.4,0.625,0.373,5,3,0,2,123,60,0.6,10,4,0.4,0.625,0.373,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4,3,0,1,119,65,0.75,8,6,0.75,0.5,0.587
Overpass,-1,14,37,9,7,0,2,247,125,0.778,18,10,0.556,0.582,0.432,10,8,0,2,267,141,0.8,20,12,0.6,0.598,0.464,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0,29,16,1.0,2,1,0.5,0.8,0.286
Mirage,1,14,37,14,11,0,3,395,223,0.786,28,15,0.536,0.642,0.493,16,13,0,3,445,255,0.812,32,17,0.531,0.652,0.502,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,13,9,0,4,339,185,0.692,26,12,0.462,0.622,0.481
Ancient,1,14,37,13,7,0,6,340,184,0.538,26,14,0.538,0.579,0.5,15,9,0,6,392,216,0.6,30,15,0.5,0.579,0.521,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,8,4,0,4,207,113,0.5,16,12,0.75,0.652,0.413
Mirage,1,38,61,18,12,0,6,488,268,0.667,36,16,0.444,0.602,0.504,18,12,0,6,488,268,0.667,36,16,0.444,0.602,0.504,8,3,0,5,187,85,0.375,16,7,0.438,0.474,0.433,12,6,0,6,307,153,0.5,24,14,0.583,0.503,0.493
Vertigo,1,38,61,8,4,0,4,241,117,0.5,16,9,0.562,0.484,0.487,8,4,0,4,241,117,0.5,16,9,0.562,0.484,0.487,3,1,0,2,72,29,0.333,6,1,0.167,0.436,0.364,9,3,0,6,238,109,0.333,18,9,0.5,0.583,0.315
Overpass,1,28,26,5,2,0,3,128,64,0.4,10,7,0.7,0.545,0.452,9,5,0,4,244,127,0.556,18,12,0.667,0.543,0.496,9,4,0,5,249,125,0.444,18,7,0.389,0.539,0.47,16,10,0,6,444,229,0.625,32,12,0.375,0.591,0.452
Nuke,-1,28,26,4,2,0,2,93,49,0.5,8,4,0.5,0.617,0.364,11,8,0,3,265,154,0.727,22,12,0.545,0.688,0.432,3,2,0,1,75,45,0.667,6,4,0.667,0.514,0.675,7,4,0,3,194,102,0.571,14,7,0.5,0.525,0.527
Mirage,-1,28,26,10,8,0,2,258,153,0.8,20,12,0.6,0.672,0.508,14,10,0,4,384,221,0.714,28,14,0.5,0.66,0.489,6,4,0,2,150,77,0.667,12,6,0.5,0.621,0.365,13,10,0,3,345,188,0.769,26,10,0.385,0.588,0.5
Overpass,1,43,45,8,2,0,6,234,110,0.25,16,8,0.5,0.547,0.393,9,3,0,6,259,126,0.333,18,9,0.5,0.575,0.402,4,2,0,2,110,53,0.5,8,6,0.75,0.549,0.424,13,8,0,5,340,189,0.615,26,16,0.615,0.584,0.534
Mirage,1,43,45,11,5,0,6,333,160,0.455,22,13,0.591,0.56,0.401,13,5,0,8,393,188,0.385,26,15,0.577,0.566,0.391,7,0,0,7,181,69,0.0,14,7,0.5,0.41,0.342,15,1,0,14,375,147,0.067,30,15,0.5,0.44,0.32
Nuke,1,22,68,17,12,0,5,454,253,0.706,34,13,0.382,0.634,0.494,17,12,0,5,454,253,0.706,34,13,0.382,0.634,0.494,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4,2,0,2,97,45,0.5,8,4,0.5,0.649,0.35
Mirage,-1,22,68,20,8,0,12,580,279,0.4,40,17,0.425,0.579,0.374,20,8,0,12,580,279,0.4,40,17,0.425,0.579,0.374,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,5,3,0,2,130,66,0.6,10,5,0.5,0.524,0.493
Vertigo,-1,22,68,10,8,0,2,273,158,0.8,20,9,0.45,0.552,0.601,10,8,0,2,273,158,0.8,20,9,0.45,0.552,0.601,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3,2,0,1,83,44,0.667,6,4,0.667,0.6,0.465
Overpass,-1,52,88,5,2,0,3,148,79,0.4,10,6,0.6,0.63,0.418,5,2,0,3,148,79,0.4,10,6,0.6,0.63,0.418,9,3,0,6,224,102,0.333,18,13,0.722,0.569,0.348,9,3,0,6,224,102,0.333,18,13,0.722,0.569,0.348
Mirage,-1,52,88,7,3,0,4,179,93,0.429,14,9,0.643,0.645,0.384,7,3,0,4,179,93,0.429,14,9,0.643,0.645,0.384,9,0,0,9,258,105,0.0,18,11,0.611,0.396,0.421,9,0,0,9,258,105,0.0,18,11,0.611,0.396,0.421
Nuke,1,28,61,11,7,0,4,260,143,0.636,22,13,0.591,0.658,0.405,11,7,0,4,260,143,0.636,22,13,0.591,0.658,0.405,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,5,1,0,4,127,54,0.2,10,3,0.3,0.573,0.212
Inferno,1,28,61,18,10,0,8,455,234,0.556,36,21,0.583,0.474,0.563,18,10,0,8,455,234,0.556,36,21,0.583,0.474,0.563,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,16,7,0,9,442,213,0.438,32,15,0.469,0.475,0.487
Nuke,-1,31,34,4,2,0,2,105,50,0.5,8,3,0.375,0.596,0.358,4,2,0,2,105,50,0.5,8,3,0.375,0.596,0.358,3,2,0,1,79,40,0.667,6,4,0.667,0.659,0.342,7,6,0,1,181,104,0.857,14,9,0.643,0.646,0.488
Mirage,-1,31,34,7,6,0,1,188,110,0.857,14,7,0.5,0.705,0.462,9,8,0,1,233,142,0.889,18,9,0.5,0.692,0.522,5,1,0,4,136,58,0.2,10,5,0.5,0.448,0.406,8,3,0,5,224,106,0.375,16,7,0.438,0.467,0.479
Dust2,1,74,37,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3,2,0,1,76,44,0.667,6,4,0.667,0.818,0.395,8,6,0,2,203,116,0.75,16,9,0.562,0.664,0.456,8,6,0,2,203,116,0.75,16,9,0.562,0.664,0.456
Inferno,-1,74,37,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3,2,0,1,85,52,0.667,6,3,0.5,0.564,0.652,9,3,0,6,249,122,0.333,18,8,0.444,0.438,0.562,9,3,0,6,249,122,0.333,18,8,0.444,0.438,0.562
Mirage,-1,74,37,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,5,3,0,2,148,80,0.6,10,7,0.7,0.597,0.494,14,9,0,5,365,195,0.643,28,14,0.5,0.605,0.475,14,9,0,5,365,195,0.643,28,14,0.5,0.605,0.475
Mirage,1,24,45,13,6,0,7,371,185,0.462,26,15,0.577,0.567,0.435,18,10,0,8,524,274,0.556,36,20,0.556,0.569,0.482,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,16,1,0,15,403,159,0.062,32,16,0.5,0.45,0.313
Nuke,1,24,45,3,1,0,2,68,28,0.333,6,3,0.5,0.538,0.333,6,4,0,2,140,76,0.667,12,6,0.5,0.69,0.391,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,20,15,0,5,530,291,0.75,40,21,0.525,0.675,0.443
Inferno,-1,14,38,11,5,0,6,290,143,0.455,22,10,0.455,0.512,0.469,13,7,0,6,335,175,0.538,26,13,0.5,0.547,0.49,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,10,8,0,2,258,146,0.8,20,11,0.55,0.638,0.507
Ancient,1,14,38,14,8,0,6,365,200,0.571,28,16,0.571,0.585,0.506,16,10,0,6,417,232,0.625,32,17,0.531,0.585,0.525,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,7,3,0,4,176,91,0.429,14,6,0.429,0.694,0.352
Mirage,1,14,38,15,12,0,3,421,239,0.8,30,15,0.5,0.639,0.5,17,14,0,3,471,271,0.824,34,17,0.5,0.649,0.508,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,17,11,0,6,471,252,0.647,34,14,0.412,0.6,0.478
Mirage,-1,43,26,3,1,0,2,87,42,0.333,6,4,0.667,0.548,0.422,13,5,0,8,386,185,0.385,26,15,0.577,0.568,0.392,12,9,0,3,322,172,0.75,24,11,0.458,0.612,0.447,14,11,0,3,374,204,0.786,28,11,0.393,0.604,0.484
Vertigo,-1,43,26,4,2,0,2,109,55,0.5,8,6,0.75,0.436,0.574,16,8,0,8,492,244,0.5,32,20,0.625,0.502,0.49,7,2,0,5,190,78,0.286,14,6,0.429,0.456,0.342,9,4,0,5,247,110,0.444,18,10,0.556,0.518,0.349
Mirage,-1,74,45,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,6,3,0,3,174,90,0.5,12,7,0.583,0.564,0.479,17,1,0,16,428,168,0.059,34,17,0.5,0.439,0.324,17,1,0,16,428,168,0.059,34,17,0.5,0.439,0.324
Nuke,-1,74,45,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3,1,0,2,80,43,0.333,6,3,0.5,0.636,0.417,21,15,0,6,556,301,0.714,42,22,0.524,0.665,0.437,21,15,0,6,556,301,0.714,42,22,0.524,0.665,0.437
Mirage,1,38,43,13,8,0,5,363,190,0.615,26,10,0.385,0.599,0.455,16,10,0,6,445,237,0.625,32,13,0.406,0.597,0.477,12,5,0,7,356,171,0.417,24,14,0.583,0.565,0.397,14,5,0,9,416,199,0.357,28,16,0.571,0.57,0.388
Overpass,-1,38,43,3,1,0,2,95,46,0.333,6,0,0.0,0.625,0.34,3,1,0,2,95,46,0.333,6,0,0.0,0.625,0.34,7,2,0,5,195,97,0.286,14,8,0.571,0.534,0.457,8,3,0,5,220,113,0.375,16,9,0.562,0.566,0.458
Ancient,1,38,43,3,0,0,3,88,40,0.0,6,3,0.5,0.578,0.326,8,3,0,5,206,105,0.375,16,7,0.438,0.67,0.358,9,4,0,5,238,120,0.444,18,8,0.444,0.551,0.45,12,6,0,6,320,164,0.5,24,10,0.417,0.552,0.466
Inferno,-1,28,37,14,6,0,8,353,170,0.429,28,16,0.571,0.413,0.561,19,11,0,8,481,250,0.579,38,23,0.605,0.477,0.571,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,10,4,0,6,276,138,0.4,20,9,0.45,0.459,0.556
Vertigo,-1,28,37,14,5,0,9,409,202,0.357,28,17,0.607,0.542,0.452,17,8,0,9,470,250,0.471,34,23,0.676,0.573,0.5,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,9,4,0,5,244,121,0.444,18,10,0.556,0.44,0.541
Mirage,1,24,34,14,7,0,7,396,201,0.5,28,16,0.571,0.563,0.456,19,11,0,8,549,290,0.579,38,21,0.553,0.566,0.495,2,1,0,1,71,35,0.5,4,3,0.75,0.667,0.314,9,4,0,5,254,122,0.444,18,9,0.5,0.516,0.447
Ancient,1,24,34,13,5,0,8,379,187,0.385,26,9,0.346,0.535,0.446,15,7,0,8,432,219,0.467,30,10,0.333,0.564,0.444,4,2,0,2,113,57,0.5,8,4,0.5,0.625,0.386,10,7,0,3,280,149,0.7,20,12,0.6,0.637,0.434
Vertigo,1,207,213,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,1,28,12,0.0,2,0,0.0,0.467,0.385,1,0,0,1,28,12,0.0,2,0,0.0,0.467,0.385
Inferno,1,207,213,1,0,0,1,26,10,0.0,2,0,0.0,0.533,0.182,1,0,0,1,26,10,0.0,2,0,0.0,0.533,0.182,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Inferno,-1,101,132,3,3,0,0,72,48,1.0,6,3,0.5,0.575,0.781,3,3,0,0,72,48,1.0,6,3,0.5,0.575,0.781,4,2,0,2,108,49,0.5,8,5,0.625,0.467,0.444,4,2,0,2,108,49,0.5,8,5,0.625,0.467,0.444
Overpass,-1,101,132,2,0,0,2,50,18,0.0,4,1,0.25,0.35,0.367,2,0,0,2,50,18,0.0,4,1,0.25,0.35,0.367,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Dust2,1,161,166,2,1,0,1,42,18,0.5,4,2,0.5,0.611,0.292,2,1,0,1,42,18,0.5,4,2,0.5,0.611,0.292,1,1,0,0,20,16,1.0,2,2,1.0,0.733,1.0,1,1,0,0,20,16,1.0,2,2,1.0,0.733,1.0
Overpass,-1,161,166,2,1,0,1,45,26,0.5,4,2,0.5,0.421,0.692,2,1,0,1,45,26,0.5,4,2,0.5,0.421,0.692,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Vertigo,-1,161,166,3,1,0,2,88,39,0.333,6,3,0.5,0.425,0.458,3,1,0,2,88,39,0.333,6,3,0.5,0.425,0.458,1,0,0,1,30,14,0.0,2,1,0.5,0.533,0.4,1,0,0,1,30,14,0.0,2,1,0.5,0.533,0.4
Inferno,1,104,207,6,5,0,1,145,87,0.833,12,7,0.583,0.636,0.578,6,5,0,1,145,87,0.833,12,7,0.583,0.636,0.578,2,1,0,1,46,26,0.5,4,2,0.5,0.633,0.438,2,1,0,1,46,26,0.5,4,2,0.5,0.633,0.438
Dust2,1,104,207,1,1,0,0,30,16,1.0,2,1,0.5,0.533,0.533,1,1,0,0,30,16,1.0,2,1,0.5,0.533,0.533,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Dust2,-1,39,44,4,1,0,3,102,41,0.25,8,3,0.375,0.367,0.452,7,3,0,4,168,81,0.429,14,6,0.429,0.505,0.444,6,3,0,3,150,84,0.5,12,5,0.417,0.506,0.616,10,6,0,4,249,146,0.6,20,9,0.45,0.466,0.692
Inferno,-1,39,44,12,3,0,9,312,137,0.25,24,11,0.458,0.507,0.377,18,9,0,9,453,233,0.5,36,18,0.5,0.559,0.472,9,4,0,5,226,108,0.444,18,6,0.333,0.467,0.49,10,5,0,5,250,124,0.5,20,7,0.35,0.489,0.504
Dust2,1,48,67,14,7,0,7,393,193,0.5,28,12,0.429,0.595,0.399,14,7,0,7,393,193,0.5,28,12,0.429,0.595,0.399,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,1,29,13,0.0,2,1,0.5,0.467,0.429
Vertigo,1,48,67,8,4,0,4,216,104,0.5,16,7,0.438,0.512,0.441,8,4,0,4,216,104,0.5,16,7,0.438,0.512,0.441,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,10,6,0,4,273,144,0.6,20,13,0.65,0.642,0.417
Inferno,1,34,45,10,5,0,5,294,149,0.5,20,11,0.55,0.49,0.525,16,10,0,6,443,237,0.625,32,20,0.625,0.521,0.549,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,8,4,0,4,192,92,0.5,16,9,0.562,0.544,0.385
Nuke,1,34,45,4,3,0,1,106,56,0.75,8,4,0.5,0.679,0.377,8,7,0,1,208,120,0.875,16,9,0.562,0.658,0.485,9,6,0,3,250,127,0.667,18,11,0.611,0.658,0.382,22,16,0,6,584,317,0.727,44,22,0.5,0.667,0.438
Nuke,1,43,88,11,8,0,3,292,160,0.727,22,16,0.727,0.643,0.472,11,8,0,3,292,160,0.727,22,16,0.727,0.643,0.472,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,5,3,0,2,136,66,0.6,10,6,0.6,0.483,0.487
Ancient,1,43,88,13,6,0,7,349,177,0.462,26,11,0.423,0.572,0.432,13,6,0,7,349,177,0.462,26,11,0.423,0.572,0.432,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,12,8,0,4,334,173,0.667,24,15,0.625,0.569,0.471
Vertigo,-1,31,28,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,5,3,0,2,126,66,0.6,10,5,0.5,0.507,0.549,14,4,0,10,419,201,0.286,28,17,0.607,0.543,0.423,17,7,0,10,480,249,0.412,34,23,0.676,0.573,0.476
Mirage,1,31,28,4,2,0,2,118,60,0.5,8,3,0.375,0.678,0.339,11,8,0,3,289,166,0.727,22,10,0.455,0.673,0.468,12,7,0,5,344,186,0.583,24,12,0.5,0.643,0.439,13,8,0,5,366,202,0.615,26,12,0.462,0.646,0.463
Overpass,-1,31,28,3,2,0,1,83,43,0.667,6,3,0.5,0.595,0.439,6,5,0,1,162,91,0.833,12,6,0.5,0.605,0.519,9,5,0,4,232,124,0.556,18,13,0.722,0.571,0.491,10,6,0,4,268,143,0.6,20,14,0.7,0.549,0.516
Overpass,1,71,93,5,4,0,1,154,77,0.8,10,3,0.3,0.622,0.388,5,4,0,1,154,77,0.8,10,3,0.3,0.622,0.388,8,5,0,3,227,129,0.625,16,12,0.75,0.541,0.589,8,5,0,3,227,129,0.625,16,12,0.75,0.541,0.589
Nuke,1,71,93,7,3,0,4,178,83,0.429,14,7,0.5,0.571,0.338,7,3,0,4,178,83,0.429,14,7,0.5,0.571,0.338,9,6,0,3,263,149,0.667,18,12,0.667,0.622,0.508,9,6,0,3,263,149,0.667,18,12,0.667,0.622,0.508
Overpass,1,106,149,3,1,0,2,100,49,0.333,6,3,0.5,0.569,0.408,3,1,0,2,100,49,0.333,6,3,0.5,0.569,0.408,2,1,0,1,51,23,0.5,4,2,0.5,0.393,0.522,2,1,0,1,51,23,0.5,4,2,0.5,0.393,0.522
Mirage,1,106,149,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,1,18,2,0.0,2,0,0.0,0.0,0.133,1,0,0,1,18,2,0.0,2,0,0.0,0.0,0.133
Mirage,1,106,71,2,1,0,1,51,29,0.5,4,1,0.25,0.682,0.483,2,1,0,1,51,29,0.5,4,1,0.25,0.682,0.483,6,4,0,2,153,85,0.667,12,8,0.667,0.571,0.544,6,4,0,2,153,85,0.667,12,8,0.667,0.571,0.544
Dust2,-1,106,71,3,2,0,1,77,48,0.667,6,4,0.667,0.667,0.579,3,2,0,1,77,48,0.667,6,4,0.667,0.667,0.579,7,4,0,3,191,97,0.571,14,7,0.5,0.553,0.455,7,4,0,3,191,97,0.571,14,7,0.5,0.553,0.455
Overpass,-1,106,71,4,2,0,2,120,65,0.5,8,5,0.625,0.621,0.444,4,2,0,2,120,65,0.5,8,5,0.625,0.621,0.444,7,6,0,1,206,109,0.857,14,6,0.429,0.644,0.412,7,6,0,1,206,109,0.857,14,6,0.429,0.644,0.412
Nuke,-1,106,71,10,8,0,2,240,139,0.8,20,9,0.45,0.56,0.595,10,8,0,2,240,139,0.8,20,9,0.45,0.56,0.595,9,4,0,5,233,113,0.444,18,9,0.5,0.602,0.355,9,4,0,5,233,113,0.444,18,9,0.5,0.602,0.355
Vertigo,1,207,213,1,1,0,0,23,16,1.0,2,2,1.0,0.875,0.6,1,1,0,0,23,16,1.0,2,2,1.0,0.875,0.6,2,0,0,2,51,19,0.0,4,0,0.0,0.433,0.286,2,0,0,2,51,19,0.0,4,0,0.0,0.433,0.286
Overpass,1,207,213,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0,29,16,1.0,2,1,0.5,0.571,0.533,1,1,0,0,29,16,1.0,2,1,0.5,0.571,0.533
Nuke,-1,153,94,3,0,0,3,66,18,0.0,6,3,0.5,0.267,0.286,3,0,0,3,66,18,0.0,6,3,0.5,0.267,0.286,5,1,0,4,123,48,0.2,10,6,0.6,0.418,0.357,5,1,0,4,123,48,0.2,10,6,0.6,0.418,0.357
Mirage,1,153,94,8,3,0,5,192,80,0.375,16,7,0.438,0.479,0.357,8,3,0,5,192,80,0.375,16,7,0.438,0.479,0.357,5,1,0,4,153,67,0.2,10,4,0.4,0.53,0.368,5,1,0,4,153,67,0.2,10,4,0.4,0.53,0.368
Inferno,-1,153,94,5,2,0,3,140,67,0.4,10,5,0.5,0.484,0.474,5,2,0,3,140,67,0.4,10,5,0.5,0.484,0.474,6,2,0,4,147,67,0.333,12,7,0.583,0.476,0.44,6,2,0,4,147,67,0.333,12,7,0.583,0.476,0.44
Overpass,1,135,153,1,0,0,1,24,8,0.0,2,0,0.0,0.333,0.333,1,0,0,1,24,8,0.0,2,0,0.0,0.333,0.333,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Mirage,-1,135,153,3,0,0,3,59,11,0.0,6,2,0.333,0.214,0.178,3,0,0,3,59,11,0.0,6,2,0.333,0.214,0.178,9,4,0,5,220,96,0.444,18,8,0.444,0.505,0.372,9,4,0,5,220,96,0.444,18,8,0.444,0.505,0.372
Nuke,-1,135,153,1,0,0,1,29,13,0.0,2,1,0.5,0.667,0.214,1,0,0,1,29,13,0.0,2,1,0.5,0.667,0.214,4,0,0,4,92,28,0.0,8,4,0.5,0.317,0.281,4,0,0,4,92,28,0.0,8,4,0.5,0.317,0.281
Inferno,1,91,45,4,3,0,1,112,64,0.75,8,6,0.75,0.6,0.538,11,7,0,4,295,162,0.636,22,10,0.455,0.601,0.489,9,4,0,5,246,125,0.444,18,8,0.444,0.485,0.535,9,4,0,5,246,125,0.444,18,8,0.444,0.485,0.535
Ancient,-1,91,45,3,0,0,3,78,30,0.0,6,4,0.667,0.4,0.364,9,3,0,6,237,107,0.333,18,9,0.5,0.456,0.446,4,1,0,3,96,40,0.25,8,4,0.5,0.556,0.333,4,1,0,3,96,40,0.25,8,4,0.5,0.556,0.333
Dust2,-1,91,45,5,2,0,3,135,68,0.4,10,8,0.8,0.483,0.52,13,8,0,5,330,186,0.615,26,19,0.731,0.476,0.634,6,5,0,1,200,114,0.833,12,4,0.333,0.618,0.511,6,5,0,1,200,114,0.833,12,4,0.333,0.618,0.511
Inferno,-1,59,43,5,2,0,3,133,59,0.4,10,4,0.4,0.4,0.479,8,4,0,4,204,101,0.5,16,7,0.438,0.44,0.548,15,12,0,3,401,226,0.8,30,13,0.433,0.569,0.557,15,12,0,3,401,226,0.8,30,13,0.433,0.569,0.557
Mirage,1,59,43,1,0,0,1,30,14,0.0,2,1,0.5,0.467,0.467,5,3,0,2,132,76,0.6,10,6,0.6,0.638,0.508,9,8,0,1,218,141,0.889,18,9,0.5,0.77,0.446,9,8,0,1,218,141,0.889,18,9,0.5,0.77,0.446
Overpass,-1,59,43,2,1,0,1,48,24,0.5,4,3,0.75,0.556,0.467,5,4,0,1,121,72,0.8,10,7,0.7,0.651,0.534,8,5,0,3,204,97,0.625,16,5,0.312,0.556,0.423,8,5,0,3,204,97,0.625,16,5,0.312,0.556,0.423
Inferno,1,121,129,4,2,0,2,93,49,0.5,8,6,0.75,0.587,0.468,4,2,0,2,93,49,0.5,8,6,0.75,0.587,0.468,6,2,0,4,167,78,0.333,12,6,0.5,0.494,0.443,6,2,0,4,167,78,0.333,12,6,0.5,0.494,0.443
Mirage,1,121,129,4,2,0,2,112,57,0.5,8,5,0.625,0.593,0.415,4,2,0,2,112,57,0.5,8,5,0.625,0.593,0.415,9,5,0,4,224,108,0.556,18,9,0.5,0.559,0.407,9,5,0,4,224,108,0.556,18,9,0.5,0.559,0.407
Vertigo,1,23,29,6,4,0,2,189,96,0.667,12,4,0.333,0.505,0.51,13,8,0,5,403,210,0.615,26,7,0.269,0.559,0.482,1,1,0,0,27,16,1.0,2,0,0.0,0.6,0.583,11,8,0,3,302,171,0.727,22,9,0.409,0.543,0.586
Ancient,-1,23,29,9,6,0,3,231,121,0.667,18,11,0.611,0.625,0.429,16,11,0,5,406,220,0.688,32,19,0.594,0.639,0.446,4,2,0,2,115,60,0.5,8,3,0.375,0.618,0.433,10,3,0,7,275,133,0.3,20,9,0.45,0.553,0.41
Overpass,-1,23,29,6,1,0,5,167,68,0.167,12,4,0.333,0.45,0.368,11,6,0,5,305,151,0.545,22,8,0.364,0.547,0.446,1,0,0,1,29,13,0.0,2,2,1.0,0.533,0.357,9,4,0,5,254,128,0.444,18,8,0.444,0.585,0.412
Vertigo,1,11,20,5,1,0,4,149,67,0.2,10,4,0.4,0.41,0.493,12,4,0,8,319,151,0.333,24,11,0.458,0.515,0.429,3,2,0,1,89,50,0.667,6,5,0.833,0.488,0.625,18,9,0,9,470,236,0.5,36,18,0.5,0.514,0.492
Dust2,1,47,70,13,5,0,8,305,143,0.385,26,13,0.5,0.468,0.47,13,5,0,8,305,143,0.385,26,13,0.5,0.468,0.47,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3,3,0,0,86,51,1.0,6,4,0.667,0.69,0.5
Inferno,-1,47,70,12,7,0,5,350,185,0.583,24,16,0.667,0.538,0.519,12,7,0,5,350,185,0.583,24,16,0.667,0.538,0.519,1,0,0,1,28,12,0.0,2,2,1.0,0.4,0.462,4,0,0,4,113,49,0.0,8,4,0.5,0.6,0.245
Overpass,-1,47,70,9,3,0,6,255,122,0.333,18,9,0.5,0.522,0.43,9,3,0,6,255,122,0.333,18,9,0.5,0.522,0.43,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,1,0,1,45,19,0.5,4,1,0.25,0.368,0.462
Vertigo,-1,27,79,15,6,0,9,426,222,0.4,30,20,0.667,0.572,0.481,15,6,0,9,426,222,0.4,30,20,0.667,0.572,0.481,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Mirage,1,27,79,12,7,0,5,323,176,0.583,24,12,0.5,0.641,0.459,12,7,0,5,323,176,0.583,24,12,0.5,0.641,0.459,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Nuke,1,27,79,11,7,0,4,267,146,0.636,22,13,0.591,0.651,0.409,11,7,0,4,267,146,0.636,22,13,0.591,0.651,0.409,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
