map,result,team1_world_rank,team2_world_rank,1_top_Times played,1_top_wins,1_top_draws,1_top_losses,1_top_Total rounds played,1_top_Rounds won,1_top_Win percent,1_top_Pistol rounds,1_top_Pistol rounds won,1_top_Pistol round win percent,1_top_CT round win percent,1_top_T round win percent,1_All_Times played,1_All_wins,1_All_draws,1_All_losses,1_All_Total rounds played,1_All_Rounds won,1_All_Win percent,1_All_Pistol rounds,1_All_Pistol rounds won,1_All_Pistol round win percent,1_All_CT round win percent,1_All_T round win percent,2_top_Times played,2_top_wins,2_top_draws,2_top_losses,2_top_Total rounds played,2_top_Rounds won,2_top_Win percent,2_top_Pistol rounds,2_top_Pistol rounds won,2_top_Pistol round win percent,2_top_CT round win percent,2_top_T round win percent,2_All_Times played,2_All_wins,2_All_draws,2_All_losses,2_All_Total rounds played,2_All_Rounds won,2_All_Win percent,2_All_Pistol rounds,2_All_Pistol rounds won,2_All_Pistol round win percent,2_All_CT round win percent,2_All_T round win percent
Inferno,1,40,36,10,1,0,9,247,99,0.1,20,9,0.45,0.451,0.352,15,6,0,9,363,179,0.4,30,15,0.5,0.533,0.453,11,7,0,4,312,165,0.636,22,16,0.727,0.503,0.554,14,10,0,4,385,213,0.714,28,19,0.679,0.557,0.55
Vertigo,1,40,36,6,4,0,2,160,79,0.667,12,8,0.667,0.467,0.518,6,4,0,2,160,79,0.667,12,8,0.667,0.467,0.518,9,5,0,4,225,114,0.556,18,7,0.389,0.464,0.56,11,7,0,4,274,146,0.636,22,9,0.409,0.487,0.589
Overpass,-1,24,48,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,13,7,0,6,319,159,0.538,26,9,0.346,0.569,0.445
Vertigo,1,24,48,1,1,0,0,26,16,1.0,2,2,1.0,0.909,0.4,1,1,0,0,26,16,1.0,2,2,1.0,0.909,0.4,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,6,1,0,5,165,75,0.167,12,8,0.667,0.586,0.308
Inferno,1,24,48,3,2,0,1,86,39,0.667,6,1,0.167,0.444,0.46,4,3,0,1,139,67,0.75,8,1,0.125,0.492,0.474,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,10,5,0,5,251,117,0.5,20,6,0.3,0.453,0.478
Inferno,1,31,80,16,7,0,9,421,212,0.438,32,17,0.531,0.498,0.509,16,7,0,9,421,212,0.438,32,17,0.531,0.498,0.509,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,9,4,0,5,231,109,0.444,18,7,0.389,0.519,0.431
Vertigo,1,31,80,8,4,0,4,208,107,0.5,16,7,0.438,0.602,0.429,8,4,0,4,208,107,0.5,16,7,0.438,0.602,0.429,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,6,4,0,2,163,87,0.667,12,8,0.667,0.684,0.402
Ancient,-1,33,38,1,0,0,1,28,12,0.0,2,1,0.5,0.6,0.231,6,3,0,3,146,77,0.5,12,5,0.417,0.714,0.355,5,3,0,2,135,71,0.6,10,4,0.4,0.536,0.515,9,4,0,5,245,120,0.444,18,8,0.444,0.569,0.41
Vertigo,-1,33,38,2,2,0,0,70,38,1.0,4,4,1.0,0.514,0.571,7,4,0,3,216,108,0.571,14,8,0.571,0.483,0.52,7,2,0,5,195,87,0.286,14,6,0.429,0.468,0.419,7,2,0,5,195,87,0.286,14,6,0.429,0.468,0.419
Dust2,1,149,153,5,4,0,1,122,77,0.8,10,6,0.6,0.745,0.56,5,4,0,1,122,77,0.8,10,6,0.6,0.745,0.56,9,5,0,4,246,116,0.556,18,8,0.444,0.496,0.441,9,5,0,4,246,116,0.556,18,8,0.444,0.496,0.441
